sylheti,bangla
অ,ওহে
অইছে,হয়েছে
অইতল বইতল,মর্যাদাহীন
অইতো নায়,হবে না
অইজ্ঞান,অজ্ঞান
অইদ্দ,অদ্য
অইদ্দ মৈদ্দ,ইদানীং
অইন,হন
অইন্যা চোখ,হরিণের মতো চোখ
অইন্নোর,"হরিণের,অন্যের"
অইবা,হওয়ার মতো
অইল,হয়েছে
অইল ভাত,পাক হয়েছে যে ভাত
অইগেছে,হয়ে গেছে
অইগেলেগি,হয়ে গেলে
অইযারগি,হয়ে যাচ্ছে
অই যাইবো,হয়ে যাবে
অইলো বাদে,শেষ হলে
অইক্ষর,অক্ষর
অউ,"এখন,এই"
অউখানতা,"ঐ জিনিসটি, এই বিষয়ে"
অউখটা,একটা
অউগলাত,আড়ালে
অউটা,ঐটা
অউদিনো,ঐ দিনে
অউরা বেটি,গর্ভবতী মহিলা
অউফাকো,"এ ফাঁকে, এ সুযোগে"
অউলও,এই নাও
অউলা,এভাবে
অওরি,গর্ভবতী
অক্কয়,"নিশ্চিত, নির্ঘাত"
অক্করে,একদম
অকত,ওয়াক্ত
অকতিয়া,যথাকালীন
অকতে জরুর,নিতান্ত  প্রয়োজনীয়
অকুপ,বিবেক
অকামা,অকর্মা
অকালর ছাবাল,বৃদ্ধের সন্তান
অকাজরভেট,অপদার্থ
অখঅখ,ব্যথা
অখন,এখন
অখনকু,এখন
অখনকুর,"এখনকার, বর্তমানের"
অখন তখন,মুমূর্ষু অবস্থা
অখনে খওয়াও,এখন খুলে ফেলো
অখাবখা,নির্বোধ
অখানো,এই স্থানে
অখানতা,এ জিনিসটি
অখানতাত,"এখানে, ঐখানে"
অখানতো,এখান থেকে
অগন,এখন
অগণা,গণনাবিহীন
অগগুর,অঘোর
অগু,"ঐটা,ওটা"
অগুইন,ঐগুলি
অগুইন্তা,ঐগুলি
অগুতা,"ঐটা,ওটা"
অগুর,গভীর
অগুরে,তাঁকে
অঘোইসাগ,অমৃত সাগর
অঙ্গার,কয়লা
অচম্বিত,বিস্মিত
অচিন,অচেনা
অছরো,অস্ত্র
অছাছ,স্বাদ
অছার,অসাড়
অছোরিদ,প্রচুর
অজ,হজ্ব
অজভুত,অদ্ভুত
অজম,হজম
অজমি,হজমি
অজর,অজুহাত
অজানিবর,অচেনা
অজোম্বর,"মোটা-সোটা, বৃহৎ,বৃক্ষ,গাছ"
অট্টা জেরাম,"বাগবিতন্ডা, তর্ক"
অটাল,অঢেল
অঠকারে,"ঠাহর না করে,না চিনে"
অঠোটক্কা,অকস্মাৎ
অডকিদি,ঐ ধারে
অঢাল,অঢেল
অতৈত,"ইহাতে,এতে"
অততা,"অনেক,বেশি পরিমাণ"
অতলা,অতগুলো
অতলি,"এতটুকু,সামান্য পরিমাণ"
অতা,"ঐটা,ঐ রকম,ঐ জিনিস"
অতাদি,"এটা দিয়ে, এসব দিয়ে"
অতারেদি,"ওকে দিয়ে, ওদেরকে দিয়ে"
অতা মাতামাতি,এইসব কথা কাটাকাটি
অতাহথা,এই সেই
অত বেইল,"এতবেলা, দীর্ঘক্ষণ"
অত্যাগত,আসা-যাওয়া
অতিল,একটু সময়
