input,output
Translate Bangla to Sylheti: সিদ্ধ করা,উনা দেওয়া
Translate English to Bangla: what number bus do i take to get to waikiki?,ওয়াইকিকি যাওয়ার জন্য কত নম্বর বাস নেব?
Translate Bangla to English আমি আমার ঘরটা পাল্টাতে চাই।,i'd like to change my room.
Translate English to Bangla: i want to become a good listener.,আমি ভালো শ্রোতা হতে চাই।
Translate English to Bangla: call tom.,টমকে ফোন করুন।
Translate English to Bangla: tom and mary really liked australia.,টম এবং মেরি সত্যিই অস্ট্রেলিয়াকে পছন্দ করেছিলো।
Translate Bangla to Sylheti: চলে গেল,গেলগি
Translate Sylheti to Bangla: ওড়া,পরিধান করা
Translate Bangla to English মেরি অস্ট্রেলিয়ায় আছে তা টম জানে না।,tom doesn't know mary is in australia.
Translate English to Bangla: i don't think i'm likely to be fired.,আমি মনে করি না আমাকে বরখাস্ত করা হবে।
Translate English to Bangla: tom rolled over in bed.,টম বিছানায় পাশ ফিরে শুলো।
Translate Bangla to Sylheti: টের পায়,ঠারপায়
Translate Bangla to Sylheti: পিছন দিকে,করেদি
Translate Bangla to Sylheti: দুশ্চিন্তার ইঁদুরে,আন্দেশার উনরে
Translate Sylheti to Bangla: করচা,কাঠালের পরিপক্ব কোষ
Translate Bangla to English গ্লাসটি ভেঙে গিয়েছে।,the glass got broken.
Translate Bangla to Sylheti: জলক্রীড়া,ছয়লানি
Translate Sylheti to Bangla: ঘসাইয়া,ঘষে
Translate English to Bangla: i'd like to open an account.,আমি একটা অ্যাকাউন্ট খুলতে চাই।
Translate Sylheti to Bangla: উজ্জলে কয়  আমরা যে খুশি,উজ্জ্বলভাবে বলা যায় আমরা খুবই সুখী
Translate Bangla to English তোমার ফোন নাম্বারটা কী?,what's your phone number?
Translate Sylheti to Bangla: জ্ঞান-বিজ্ঞানে অত আগাইল থাকে,জ্ঞান-বিজ্ঞানে এত আগানো থাকে
Translate Bangla to English ইংরাজি আমার মাতৃভাষা নয়।,english is not my native language.
